# t_unix,market,bid,bid_size,ask,ask_size
1786860781.426,btc-updown-4h-1786852800,0.22,6,0.23,639.47
1786860781.608,btc-updown-4h-1786852800-no,0.77,639.47,0.78,6
1786860782.174,eth-updown-4h-1786852800,0.11,252,0.15,372
1786860782.359,eth-updown-4h-1786852800-no,0.85,372,0.89,252
1786860782.887,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860783.071,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860783.272,sol-updown-4h-1786852800,0.12,128,0.13,61
1786860783.445,sol-updown-4h-1786852800-no,0.87,61,0.88,128
1786860783.645,btc-updown-15m-1786860000,0.62,4.17,0.63,128
1786860783.834,btc-updown-15m-1786860000-no,0.39,108,0.4,18.75
1786860784.351,xrp-updown-4h-1786852800,0.23,11,0.24,6
1786860784.523,xrp-updown-4h-1786852800-no,0.76,6,0.77,11
1786860784.698,bitcoin-up-or-down-august-16-2026-2am-et,0.56,25,0.57,155.99
1786860784.868,bitcoin-up-or-down-august-16-2026-2am-et-no,0.43,155.99,0.44,25
1786860786.758,btc-updown-4h-1786852800,0.21,2.3,0.22,13.47
1786860786.944,btc-updown-4h-1786852800-no,0.77,626,0.79,2.3
1786860787.487,eth-updown-4h-1786852800,0.12,10,0.14,41
1786860787.664,eth-updown-4h-1786852800-no,0.86,41,0.88,10
1786860788.381,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860788.819,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860789.383,sol-updown-4h-1786852800,0.12,128,0.13,61
1786860789.573,sol-updown-4h-1786852800-no,0.87,61,0.88,128
1786860789.753,btc-updown-15m-1786860000,0.61,2674.38,0.62,2.07
1786860789.931,btc-updown-15m-1786860000-no,0.37,10,0.4,100.83
1786860790.459,xrp-updown-4h-1786852800,0.24,6,0.25,106
1786860790.636,xrp-updown-4h-1786852800-no,0.75,106,0.76,6
1786860790.812,bitcoin-up-or-down-august-16-2026-2am-et,0.56,25,0.57,155.99
1786860790.988,bitcoin-up-or-down-august-16-2026-2am-et-no,0.43,155.99,0.44,25
1786860792.413,btc-updown-4h-1786852800,0.21,2.3,0.23,626
1786860792.588,btc-updown-4h-1786852800-no,0.77,626,0.79,2.3
1786860793.121,eth-updown-4h-1786852800,0.12,10,0.14,41
1786860793.296,eth-updown-4h-1786852800-no,0.86,41,0.88,10
1786860793.814,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860793.987,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860794.164,sol-updown-4h-1786852800,0.12,128,0.13,61
1786860794.351,sol-updown-4h-1786852800-no,0.87,61,0.88,128
1786860794.526,btc-updown-15m-1786860000,0.62,10,0.63,29.7
1786860794.718,btc-updown-15m-1786860000-no,0.37,16.5,0.38,10
1786860795.260,xrp-updown-4h-1786852800,0.23,11,0.24,6
1786860795.428,xrp-updown-4h-1786852800-no,0.76,6,0.77,11
1786860795.619,bitcoin-up-or-down-august-16-2026-2am-et,0.56,25,0.57,155.99
1786860795.810,bitcoin-up-or-down-august-16-2026-2am-et-no,0.43,155.99,0.44,25
1786860797.240,btc-updown-4h-1786852800,0.21,2.3,0.23,626
1786860797.410,btc-updown-4h-1786852800-no,0.77,626,0.79,2.3
1786860797.949,eth-updown-4h-1786852800,0.12,10,0.14,41
1786860798.126,eth-updown-4h-1786852800-no,0.86,41,0.88,10
1786860798.676,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860798.852,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860799.032,sol-updown-4h-1786852800,0.12,128,0.13,61
1786860799.223,sol-updown-4h-1786852800-no,0.87,61,0.88,128
1786860799.442,btc-updown-15m-1786860000,0.64,2376,0.65,6.2
1786860799.623,btc-updown-15m-1786860000-no,0.35,6.2,0.36,2376
1786860800.149,xrp-updown-4h-1786852800,0.23,11,0.24,6
1786860800.325,xrp-updown-4h-1786852800-no,0.76,6,0.77,11
1786860800.497,bitcoin-up-or-down-august-16-2026-2am-et,0.56,25,0.57,305.99
1786860800.702,bitcoin-up-or-down-august-16-2026-2am-et-no,0.43,305.99,0.44,25
1786860802.096,btc-updown-4h-1786852800,0.21,2.3,0.23,726
1786860802.272,btc-updown-4h-1786852800-no,0.77,726,0.79,2.3
1786860802.825,eth-updown-4h-1786852800,0.11,252,0.13,40
1786860803.003,eth-updown-4h-1786852800-no,0.87,40,0.89,252
1786860803.528,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860803.704,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860803.886,sol-updown-4h-1786852800,0.12,128,0.13,61
1786860804.058,sol-updown-4h-1786852800-no,0.87,61,0.88,128
1786860804.233,btc-updown-15m-1786860000,0.61,2195.5,0.62,1.42
1786860804.427,btc-updown-15m-1786860000-no,0.38,1.42,0.39,2195.5
1786860804.971,xrp-updown-4h-1786852800,0.24,6,0.25,22
1786860805.146,xrp-updown-4h-1786852800-no,0.75,22,0.76,6
1786860805.353,bitcoin-up-or-down-august-16-2026-2am-et,0.54,150.36,0.56,133
1786860805.524,bitcoin-up-or-down-august-16-2026-2am-et-no,0.44,133,0.46,150.36
1786860806.939,btc-updown-4h-1786852800,0.21,2.3,0.22,420
1786860807.125,btc-updown-4h-1786852800-no,0.78,420,0.79,2.3
1786860807.641,eth-updown-4h-1786852800,0.11,252,0.13,40
1786860807.816,eth-updown-4h-1786852800-no,0.87,40,0.89,252
1786860808.339,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860808.507,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860808.681,sol-updown-4h-1786852800,0.12,128,0.13,61
1786860808.867,sol-updown-4h-1786852800-no,0.87,61,0.88,128
1786860809.044,btc-updown-15m-1786860000,0.62,5,0.63,10
1786860809.241,btc-updown-15m-1786860000-no,0.37,10,0.38,5
1786860809.864,xrp-updown-4h-1786852800,0.23,11,0.24,6
1786860810.043,xrp-updown-4h-1786852800-no,0.76,6,0.77,11
1786860810.217,bitcoin-up-or-down-august-16-2026-2am-et,0.54,394.36,0.56,141
1786860810.388,bitcoin-up-or-down-august-16-2026-2am-et-no,0.44,146,0.46,394.36
1786860811.828,btc-updown-4h-1786852800,0.21,2.3,0.22,420
1786860812.033,btc-updown-4h-1786852800-no,0.78,420,0.79,2.3
1786860812.583,eth-updown-4h-1786852800,0.11,252,0.13,40
1786860812.787,eth-updown-4h-1786852800-no,0.87,40,0.89,252
1786860813.348,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860813.533,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860813.729,sol-updown-4h-1786852800,0.12,128,0.13,61
1786860813.904,sol-updown-4h-1786852800-no,0.87,61,0.88,128
1786860814.091,btc-updown-15m-1786860000,0.47,74.5,0.56,10
1786860814.266,btc-updown-15m-1786860000-no,0.46,10,0.47,5
1786860814.839,xrp-updown-4h-1786852800,0.23,11,0.24,6
1786860815.015,xrp-updown-4h-1786852800-no,0.76,6,0.77,11
1786860815.204,bitcoin-up-or-down-august-16-2026-2am-et,0.53,87.53,0.56,311
1786860815.379,bitcoin-up-or-down-august-16-2026-2am-et-no,0.44,161,0.47,87.53
1786860816.833,btc-updown-4h-1786852800,0.21,2.3,0.22,420
1786860817.032,btc-updown-4h-1786852800-no,0.78,420,0.79,2.3
1786860817.592,eth-updown-4h-1786852800,0.12,10,0.14,61
1786860817.775,eth-updown-4h-1786852800-no,0.86,31,0.89,252
1786860818.295,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860818.466,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860818.645,sol-updown-4h-1786852800,0.12,128,0.13,61
1786860818.819,sol-updown-4h-1786852800-no,0.87,61,0.88,128
1786860818.996,btc-updown-15m-1786860000,0.16,20,0.53,55
1786860819.188,btc-updown-15m-1786860000-no,0.45,30,0.46,36
1786860819.698,xrp-updown-4h-1786852800,0.23,11,0.24,50
1786860819.873,xrp-updown-4h-1786852800-no,0.76,50,0.77,11
1786860820.058,bitcoin-up-or-down-august-16-2026-2am-et,0.55,20,0.56,105.88
1786860820.243,bitcoin-up-or-down-august-16-2026-2am-et-no,0.44,105.88,0.45,20
1786860821.621,btc-updown-4h-1786852800,0.21,2.3,0.22,420
1786860821.805,btc-updown-4h-1786852800-no,0.78,420,0.79,2.3
1786860822.322,eth-updown-4h-1786852800,0.11,252,0.14,61
1786860822.524,eth-updown-4h-1786852800-no,0.86,31,0.89,252
1786860823.091,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860823.275,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860823.455,sol-updown-4h-1786852800,0.12,128,0.13,61
1786860823.629,sol-updown-4h-1786852800-no,0.87,61,0.88,128
1786860823.804,btc-updown-15m-1786860000,0.52,20,0.53,300
1786860823.982,btc-updown-15m-1786860000-no,0.47,300,0.48,20
1786860824.517,xrp-updown-4h-1786852800,0.23,11,0.24,50
1786860824.702,xrp-updown-4h-1786852800-no,0.76,50,0.77,11
1786860824.876,bitcoin-up-or-down-august-16-2026-2am-et,0.54,120,0.55,157.1
1786860825.051,bitcoin-up-or-down-august-16-2026-2am-et-no,0.45,140.7,0.46,25
1786860826.494,btc-updown-4h-1786852800,0.21,2.3,0.22,520
1786860826.676,btc-updown-4h-1786852800-no,0.78,520,0.79,2.3
1786860827.652,eth-updown-4h-1786852800,0.11,252,0.14,61
1786860828.055,eth-updown-4h-1786852800-no,0.86,61,0.89,252
1786860828.847,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860829.027,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860829.242,sol-updown-4h-1786852800,0.12,128,0.13,72
1786860829.473,sol-updown-4h-1786852800-no,0.87,61,0.88,128
1786860829.820,btc-updown-15m-1786860000,0.18,2,0.19,288.42
1786860830.386,btc-updown-15m-1786860000-no,0.82,53,0.83,24.91
1786860831.472,xrp-updown-4h-1786852800,0.23,11,0.24,56
1786860831.681,xrp-updown-4h-1786852800-no,0.76,56,0.77,11
1786860831.865,bitcoin-up-or-down-august-16-2026-2am-et,0.54,25,0.55,129.1
1786860832.073,bitcoin-up-or-down-august-16-2026-2am-et-no,0.45,129.1,0.46,25
1786860833.557,btc-updown-4h-1786852800,0.21,2.3,0.22,520
1786860833.734,btc-updown-4h-1786852800-no,0.78,520,0.79,2.3
1786860834.323,eth-updown-4h-1786852800,0.12,10,0.14,31
1786860834.534,eth-updown-4h-1786852800-no,0.86,61,0.88,10
1786860835.124,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860835.321,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860835.495,sol-updown-4h-1786852800,0.12,128,0.13,72
1786860835.673,sol-updown-4h-1786852800-no,0.87,72,0.88,128
1786860835.873,btc-updown-15m-1786860000,0.45,72,0.46,8
1786860836.061,btc-updown-15m-1786860000-no,0.6,20,0.65,20
1786860836.607,xrp-updown-4h-1786852800,0.23,11,0.24,50
1786860836.794,xrp-updown-4h-1786852800-no,0.76,50,0.77,11
1786860836.975,bitcoin-up-or-down-august-16-2026-2am-et,0.54,25,0.55,129.1
1786860837.150,bitcoin-up-or-down-august-16-2026-2am-et-no,0.45,129.1,0.46,25
1786860838.594,btc-updown-4h-1786852800,0.21,2.3,0.22,520
1786860838.777,btc-updown-4h-1786852800-no,0.78,520,0.79,2.3
1786860839.296,eth-updown-4h-1786852800,0.12,10,0.14,61
1786860839.470,eth-updown-4h-1786852800-no,0.86,20,0.89,252
1786860840.017,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860840.205,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860840.391,sol-updown-4h-1786852800,0.12,128,0.13,61
1786860840.574,sol-updown-4h-1786852800-no,0.87,61,0.88,128
1786860840.745,btc-updown-15m-1786860000,0.4,10,0.71,171.36
1786860840.937,btc-updown-15m-1786860000-no,0.29,164.31,0.31,31.74
1786860841.494,xrp-updown-4h-1786852800,0.23,11,0.24,50
1786860841.674,xrp-updown-4h-1786852800-no,0.76,50,0.77,11
1786860841.847,bitcoin-up-or-down-august-16-2026-2am-et,0.54,25,0.55,129.1
1786860842.020,bitcoin-up-or-down-august-16-2026-2am-et-no,0.45,129.1,0.46,25
1786860843.628,btc-updown-4h-1786852800,0.21,2.3,0.22,520
1786860844.038,btc-updown-4h-1786852800-no,0.78,520,0.79,2.3
1786860844.964,eth-updown-4h-1786852800,0.11,252,0.14,31
1786860845.175,eth-updown-4h-1786852800-no,0.86,31,0.88,10
1786860845.690,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860845.877,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860846.060,sol-updown-4h-1786852800,0.12,128,0.13,72
1786860846.290,sol-updown-4h-1786852800-no,0.87,72,0.88,128
1786860846.477,btc-updown-15m-1786860000,0.39,204.94,0.62,18.5
1786860846.650,btc-updown-15m-1786860000-no,0.38,18.5,0.61,204.94
1786860847.179,xrp-updown-4h-1786852800,0.23,11,0.24,50
1786860847.359,xrp-updown-4h-1786852800-no,0.76,50,0.77,11
1786860847.543,bitcoin-up-or-down-august-16-2026-2am-et,0.54,25,0.55,129.1
1786860847.721,bitcoin-up-or-down-august-16-2026-2am-et-no,0.45,129.1,0.46,25
1786860849.336,btc-updown-4h-1786852800,0.21,2.3,0.22,520
1786860849.549,btc-updown-4h-1786852800-no,0.78,520,0.79,2.3
1786860850.094,eth-updown-4h-1786852800,0.11,252,0.14,31
1786860850.265,eth-updown-4h-1786852800-no,0.86,51,0.88,10
1786860850.843,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860851.028,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860851.213,sol-updown-4h-1786852800,0.12,128,0.13,61
1786860851.397,sol-updown-4h-1786852800-no,0.87,61,0.88,128
1786860851.567,btc-updown-15m-1786860000,0.82,10,0.85,19.11
1786860851.831,btc-updown-15m-1786860000-no,0.16,5,0.19,13.34
1786860852.389,xrp-updown-4h-1786852800,0.23,11,0.24,50
1786860852.723,xrp-updown-4h-1786852800-no,0.76,50,0.77,11
1786860852.967,bitcoin-up-or-down-august-16-2026-2am-et,0.54,15,0.55,129.1
1786860853.161,bitcoin-up-or-down-august-16-2026-2am-et-no,0.45,129.1,0.46,5
1786860855.091,btc-updown-4h-1786852800,0.21,2.3,0.22,520
1786860855.268,btc-updown-4h-1786852800-no,0.78,520,0.79,2.3
1786860855.832,eth-updown-4h-1786852800,0.11,252,0.14,61
1786860856.011,eth-updown-4h-1786852800-no,0.86,31,0.89,252
1786860856.543,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860856.723,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860857.085,sol-updown-4h-1786852800,0.12,128,0.13,61
1786860857.264,sol-updown-4h-1786852800-no,0.87,61,0.88,128
1786860857.437,btc-updown-15m-1786860000,0.62,4.55,0.64,13.53
1786860857.617,btc-updown-15m-1786860000-no,0.36,23.66,0.38,4.55
1786860858.151,xrp-updown-4h-1786852800,0.23,11,0.24,50
1786860858.333,xrp-updown-4h-1786852800-no,0.76,50,0.77,11
1786860858.505,bitcoin-up-or-down-august-16-2026-2am-et,0.54,5,0.55,123.15
1786860858.703,bitcoin-up-or-down-august-16-2026-2am-et-no,0.45,123.15,0.46,25
1786860860.190,btc-updown-4h-1786852800,0.21,2.3,0.22,520
1786860860.363,btc-updown-4h-1786852800-no,0.78,520,0.79,2.3
1786860860.897,eth-updown-4h-1786852800,0.11,252,0.14,31
1786860861.074,eth-updown-4h-1786852800-no,0.86,31,0.88,10
1786860861.623,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860861.888,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860862.090,sol-updown-4h-1786852800,0.12,128,0.13,61
1786860862.272,sol-updown-4h-1786852800-no,0.87,61,0.88,128
1786860862.665,btc-updown-15m-1786860000,0.9,5,0.91,199.41
1786860862.844,btc-updown-15m-1786860000-no,0.09,176.41,0.1,5
1786860863.393,xrp-updown-4h-1786852800,0.23,11,0.24,50
1786860863.565,xrp-updown-4h-1786852800-no,0.76,50,0.77,11
1786860863.740,bitcoin-up-or-down-august-16-2026-2am-et,0.54,25,0.55,8
1786860863.919,bitcoin-up-or-down-august-16-2026-2am-et-no,0.45,8,0.46,25
1786860865.413,btc-updown-4h-1786852800,0.08,70,0.14,10
1786860865.601,btc-updown-4h-1786852800-no,0.85,250,0.92,70
1786860866.133,eth-updown-4h-1786852800,0.09,150,0.1,31
1786860866.322,eth-updown-4h-1786852800-no,0.9,31,0.91,150
1786860867.082,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860867.264,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860867.442,sol-updown-4h-1786852800,0.09,150,0.1,11
1786860867.616,sol-updown-4h-1786852800-no,0.9,11,0.91,150
1786860867.786,btc-updown-15m-1786860000,0.09,13.9,0.15,51.34
1786860867.960,btc-updown-15m-1786860000-no,0.85,51.34,0.91,13.9
1786860868.484,xrp-updown-4h-1786852800,0.2,6,0.21,134
1786860868.658,xrp-updown-4h-1786852800-no,0.79,134,0.8,6
1786860868.835,bitcoin-up-or-down-august-16-2026-2am-et,0.27,14,0.28,55.81
1786860869.006,bitcoin-up-or-down-august-16-2026-2am-et-no,0.71,27.48,0.73,46
1786860871.186,btc-updown-4h-1786852800,0.14,250,0.17,6
1786860871.370,btc-updown-4h-1786852800-no,0.83,6,0.86,250
1786860871.934,eth-updown-4h-1786852800,0.09,150,0.1,31
1786860872.103,eth-updown-4h-1786852800-no,0.9,31,0.91,150
1786860872.640,sol-updown-15m-1786876200,0.5,1,0.51,85.53
1786860872.813,sol-updown-15m-1786876200-no,0.49,85.53,0.5,1
1786860873.008,sol-updown-4h-1786852800,0.09,150,0.1,16
1786860873.187,sol-updown-4h-1786852800-no,0.9,16,0.91,150
1786860873.359,btc-updown-15m-1786860000,0.02,63.82,0.04,135
